"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A",Target
"64.207.204.168",4287,"192.168.0.101",61894,2,170,1,104,1,66,57.18174,0.00015799999999899228,0,0,0
"67.222.248.107",4287,"192.168.0.101",61891,2,170,1,104,1,66,9.686388,0.00010699999999985721,0,0,0
"104.199.240.237",4070,"192.168.0.101",61201,4,680,2,548,2,132,35.549272,10.556610999999997,415.2847916817245,100.03210310581684,0
"192.168.0.101",62447,"192.111.4.103",443,23,5304,14,3674,9,1630,0,32.458935,905.5133817545154,401.7383811267992,0
"192.168.0.101",62308,"31.13.79.63",443,36,2916,18,1476,18,1440,0.026879,88.34360000000001,133.65993688280756,130.3999384222513,0
"192.168.0.101",62449,"40.77.226.250",443,25,12432,16,7676,9,4756,4.1794,0.8471529999999996,72487.49635543996,44912.78434946228,0
"192.168.0.101",62450,"142.250.66.4",443,14,2399,8,1175,6,1224,4.542592,0.19157199999999985,49067.71344455352,51113.94149458171,0
"192.168.0.101",62451,"142.250.66.4",443,31,4755,16,2444,15,2311,4.542884,45.407982,430.58508964349045,407.1530859926786,0
"192.168.0.101",62428,"35.186.224.25",443,66,11910,30,5108,36,6802,6.891699,74.688603,547.1249743418015,728.5716670855392,0
"192.168.0.101",58720,"34.68.219.28",5986,143,124225,61,35689,82,88536,8.066087,80.87376400000001,3530.3414343370982,8757.94528371401,0
"192.168.0.101",62060,"13.67.9.5",443,3,174,1,54,2,120,8.146252,37.851929999999996,11.412892288451344,25.361982863225208,0
"192.168.0.101",61398,"31.13.79.53",443,16,1437,8,748,8,689,8.51709,67.060411,89.23297532429379,82.19454545245779,0
"192.168.0.101",62452,"142.250.67.174",443,29,5224,15,2990,14,2234,9.609023,45.335437999999996,527.6225631701187,394.216992014062,0
"192.168.0.101",62453,"142.250.192.14",443,1271,1583038,186,15062,1085,1567976,10.003479,45.909715,2624.6296671630394,273227.74711191305,0
"192.168.0.101",62454,"172.217.27.214",443,28,8702,16,2275,12,6427,10.432979,45.278710000000004,401.9549143515793,1135.544718478066,0
"192.168.0.101",62455,"173.36.111.168",443,36,19685,22,11919,14,7766,10.459734,60.80088000000001,1568.26677508615,1021.8273156572733,0
"192.168.0.101",62456,"173.36.111.168",443,23,7750,12,1435,11,6315,10.620519999999999,60.947674000000006,188.35829567507366,828.907761106683,0
"192.168.0.101",62457,"173.36.111.168",443,25,11477,13,3145,12,8332,11.593766,59.996432,419.35827117185903,1110.9994007643654,0
"192.168.0.101",62458,"142.250.183.170",443,33,10846,14,2218,19,8628,11.668339,45.341262,391.3433199102398,1522.321985656244,0
"192.168.0.101",62440,"142.250.77.42",443,28,3974,12,2099,16,1875,11.73104,61.463525999999995,273.20267958593854,244.0471768573772,0
"192.168.0.101",62459,"173.36.111.168",443,22,8300,11,1369,11,6931,11.799689,60.557737,180.85220060320285,915.6220616368145,0
"192.168.0.101",62460,"142.251.42.45",443,91,55550,41,4203,50,51347,12.081946,45.439358,739.9752434882553,9040.092511870436,0
"192.168.0.101",62462,"142.250.199.131",443,42,20936,19,2529,23,18407,13.070363,45.239081,447.22393896551523,3255.061702071269,0
"192.168.0.101",62463,"172.217.174.66",443,31,9642,15,2251,16,7391,13.80025,45.392106,396.72096289165347,1302.6053472821905,0
"192.168.0.101",62464,"172.217.166.170",443,32,9079,14,2040,18,7039,14.211044,45.437498,359.17470631855656,1239.3288028315292,0
"192.168.0.101",62465,"142.250.183.131",443,514,584597,116,9419,398,575178,14.743106000000001,45.523262,1655.2416652391912,101078.52113058155,0
"192.168.0.101",62466,"142.250.183.131",443,16,5885,8,1009,8,4876,14.811168,0.13246099999999927,60938.691388408995,294486.6790980003,0
"192.168.0.101",62467,"142.250.183.131",443,13,5711,6,901,7,4810,14.811972,0.12331899999999862,58450.036085275424,312036.2636738899,0
"192.168.0.101",62468,"142.250.183.131",443,13,5710,6,901,7,4809,14.812823999999999,0.13479700000000072,53473.000140952405,285406.9452584241,0
"192.168.0.101",62469,"142.250.192.97",443,21,10078,11,1307,10,8771,14.844108,0.17676799999999915,59150.97755249847,396949.6741491692,0
"192.168.0.101",62470,"142.250.192.97",443,103,61817,51,5698,52,56119,14.845146,54.437959000000006,837.3568891515569,8247.039533572519,0
"192.168.0.101",62471,"142.250.192.97",443,21,10065,10,1229,11,8836,14.845584,0.1749419999999997,56201.48392038514,404065.34737227263,0
"192.168.0.101",62472,"142.250.192.97",443,24,10252,13,1415,11,8837,14.846148,0.19415700000000058,58303.33183969657,364117.69856353255,0
"192.168.0.101",62473,"142.250.192.97",443,22,10132,11,1295,11,8837,14.846619,0.18334699999999948,56504.87872722231,385585.80178568617,0
"192.168.0.101",62474,"142.250.192.97",443,20,10019,10,1241,10,8778,14.846924,0.1842220000000001,53891.500472256266,381192.2571679819,0
"192.168.0.101",62475,"142.250.183.36",443,32,9747,15,2433,17,7314,15.340218,45.432235,428.41828054463974,1287.8961380614448,0
"192.168.0.101",62476,"172.217.166.35",443,32,9529,15,2424,17,7105,15.389069,45.703878,424.29659907634095,1243.658142094638,0
"192.168.0.101",62477,"172.217.166.38",443,30,9063,15,2223,15,6840,16.942361,45.399084,391.725965219915,1205.310662215123,0
"192.168.0.101",62478,"216.58.196.67",80,10,1748,6,764,4,984,17.140755,60.045998,101.78863210833802,131.09949475733586,0
"192.168.0.101",62479,"142.250.76.174",443,34,12253,16,2319,18,9934,17.478348,45.370284,408.90200290569044,1751.6310896356745,0
"192.168.0.101",62415,"35.186.224.13",443,4,240,2,108,2,132,17.999356,45.168587,19.128338019517855,23.379079801632933,0
"192.168.0.101",62480,"40.77.226.250",443,24,12294,15,7538,9,4756,19.306563,0.9136179999999996,66005.70479128041,41645.41416653351,0
"192.168.0.101",62435,"13.35.205.168",443,4,240,2,108,2,132,23.514447,45.040492,19.18273894521401,23.44556982192823,0
"192.168.0.101",62481,"43.228.93.177",443,18,8265,9,1955,9,6310,23.530077,45.090629,346.8569932790248,1119.523083166571,0
"192.168.0.101",58729,"35.186.224.39",443,14,1735,7,591,7,1144,25.282825,61.40057899999999,77.00253119762927,149.05396901876122,0
"192.168.0.101",62482,"142.250.192.66",443,46,24651,23,2683,23,21968,25.406963,45.325492,473.55249888958735,3877.3765544563753,0
"192.168.0.101",58721,"35.186.224.47",443,10,1361,5,400,5,961,25.418048,51.15736700000001,62.55208560675141,150.28138567022026,0
"192.168.0.101",62483,"40.77.226.250",443,24,12398,15,7642,9,4756,33.761078,0.8709100000000021,70197.8390419215,43687.63706927226,0
"192.168.0.101",62484,"142.251.42.66",443,31,10951,15,3976,16,6975,35.929868,45.34872300000001,701.4089459586326,1230.4646373394019,0
"192.168.0.101",61958,"35.81.198.46",443,4,240,2,108,2,132,38.003066,45.57389700000001,18.958220755183604,23.171158700779962,0
"192.168.0.101",58566,"74.125.68.188",5228,4,240,2,108,2,132,43.932569,45.239551000000006,19.09833278407206,23.342406736088073,0
"192.168.0.101",62486,"40.77.226.250",443,26,12513,16,7703,10,4810,48.668541,0.8434039999999996,73065.8142479761,45624.63540604505,0
"192.168.0.101",62487,"192.111.4.104",443,49,19302,29,9217,20,10085,50.192566,26.104496999999995,2824.6474161137835,3090.655223121136,0
"192.168.0.101",62488,"23.213.180.59",443,444,540023,83,7070,361,532953,50.888545,1.5255679999999998,37074.7157779922,2794778.076100181,0
"192.168.0.101",62489,"17.111.103.26",443,27,8768,14,2990,13,5778,51.39078,31.654867000000003,755.6499921481268,1460.2493828200256,0
"192.168.0.101",62490,"23.212.161.210",443,23,9765,11,2217,12,7548,52.868016,0.4321079999999995,41045.29423199761,139742.84206726114,0
"192.168.0.101",62491,"23.212.161.210",443,25,10655,12,3032,13,7623,52.903624,0.43750999999999607,55441.01849100642,139388.81396996765,0
"192.168.0.101",62492,"23.212.161.210",443,26,10712,13,3098,13,7614,53.136118,0.37529099999999715,66039.42007668766,162306.0505048095,0
"192.168.0.101",62493,"40.77.226.250",443,23,11854,14,7098,9,4756,63.680602,0.9090670000000003,62464.042804325734,41853.90075758991,0
"192.168.0.101",62495,"40.77.226.250",443,23,11530,14,6774,9,4756,78.784702,0.9147600000000011,59241.76833267735,41593.42341160518,0
"192.168.0.101",62496,"13.35.210.16",443,23,9742,9,1442,14,8300,79.391059,0.26920599999999695,42851.94237869933,246651.26334480193,0
"192.168.0.101",58366,"142.250.67.202",443,51,5550,24,3013,27,2537,1.095701,85.388983,282.28465960298416,237.6887425863826,0
"192.168.0.101",49717,"172.217.167.174",443,70,40588,44,35801,26,4787,1.121416,24.128532,11870.0963655808,1587.1665959619922,0
"192.168.0.101",50418,"142.250.66.14",443,95,49169,60,43792,35,5377,1.124401,78.66100999999999,4453.743983200827,546.8528817517091,0
"192.168.0.101",52144,"142.250.183.36",443,69,48401,26,2962,43,45439,4.290454,0.404261,58615.59734923725,899201.2585928398,0
"192.168.0.101",50230,"208.67.222.222",443,2,520,1,302,1,218,4.435703,0.10356399999999955,23328.569773280393,16839.828511838165,0
"192.168.0.101",56817,"192.168.0.1",53,2,158,1,79,1,79,6.925996,0.00419700000000045,0,0,0
"192.168.0.101",61182,"192.168.0.1",53,2,165,1,88,1,77,6.937545,0.03418800000000033,20592.020592020395,18018.018018017843,0
