Dropped strings... 2275
Dropped Unamed column... 2275
Dropped NA values... 2275
Resetting index... 2275
Dropped targets column... 2100
Dataset preprocess completed...

Accuracy...

Logistic_Regression_Model           45.14%
Gradient_Boosting_Classifier_Model  50.29%
Decision_Tree_Classifier_Model      75.43%
K_Neighbors_Classifier_Model        52.0%
Random_Forest_Classifier_Model      77.71%

Prediction...

Packet Time          Logistic_Regression          Gradient_Boosting_Classifier Decision_Tree_Classifier     K_Neighbors_Classifier       Random_Forest_Classifier     Actual Packet Protocol      
0-61894.0            non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
1-61891.0            non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
2-61201.0            non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
3-443.0              non-quic                     non-quic                     non-quic                     quic                         non-quic                     non-quic                    
4-443.0              non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
5-443.0              quic                         quic                         non-quic                     non-quic                     non-quic                     non-quic                    
6-443.0              quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
7-443.0              non-quic                     non-quic                     non-quic                     quic                         non-quic                     non-quic                    
8-443.0              non-quic                     non-quic                     quic                         quic                         quic                         non-quic                    
9-5986.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
10-443.0             non-quic                     non-quic                     non-quic                     quic                         non-quic                     non-quic                    
11-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
12-443.0             non-quic                     non-quic                     non-quic                     quic                         non-quic                     non-quic                    
13-443.0             non-quic                     quic                         quic                         quic                         quic                         non-quic                    
14-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
15-443.0             non-quic                     quic                         non-quic                     quic                         non-quic                     non-quic                    
16-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
17-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
18-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
19-443.0             non-quic                     non-quic                     non-quic                     quic                         non-quic                     non-quic                    
20-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
21-443.0             non-quic                     quic                         quic                         quic                         quic                         non-quic                    
22-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
23-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
24-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
25-443.0             non-quic                     quic                         quic                         quic                         quic                         non-quic                    
26-443.0             quic                         non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
27-443.0             quic                         non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
28-443.0             quic                         non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
29-443.0             quic                         non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
30-443.0             non-quic                     quic                         quic                         non-quic                     quic                         non-quic                    
31-443.0             quic                         non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
32-443.0             quic                         non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
33-443.0             quic                         non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
34-443.0             quic                         non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
35-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
36-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
37-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
38-80.0              non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
39-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
40-443.0             non-quic                     non-quic                     quic                         quic                         non-quic                     non-quic                    
41-443.0             quic                         quic                         non-quic                     non-quic                     non-quic                     non-quic                    
42-443.0             non-quic                     non-quic                     quic                         quic                         non-quic                     non-quic                    
43-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
44-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
45-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
46-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
47-443.0             quic                         quic                         non-quic                     non-quic                     non-quic                     non-quic                    
48-443.0             non-quic                     quic                         non-quic                     quic                         non-quic                     non-quic                    
49-443.0             non-quic                     non-quic                     quic                         quic                         non-quic                     non-quic                    
50-5228.0            non-quic                     non-quic                     quic                         non-quic                     non-quic                     non-quic                    
51-443.0             quic                         quic                         quic                         non-quic                     non-quic                     non-quic                    
52-443.0             non-quic                     quic                         quic                         non-quic                     quic                         non-quic                    
53-443.0             quic                         quic                         quic                         quic                         quic                         non-quic                    
54-443.0             non-quic                     quic                         quic                         quic                         non-quic                     non-quic                    
55-443.0             quic                         quic                         quic                         non-quic                     quic                         non-quic                    
56-443.0             quic                         quic                         quic                         quic                         quic                         non-quic                    
57-443.0             quic                         quic                         quic                         quic                         quic                         non-quic                    
58-443.0             quic                         quic                         non-quic                     non-quic                     non-quic                     non-quic                    
59-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
60-443.0             quic                         non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
61-443.0             non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
62-443.0             quic                         quic                         quic                         quic                         quic                         non-quic                    
63-443.0             non-quic                     quic                         quic                         quic                         quic                         non-quic                    
64-443.0             quic                         quic                         quic                         quic                         quic                         non-quic                    
65-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
66-53.0              non-quic                     quic                         non-quic                     quic                         quic                         non-quic                    
67-53.0              quic                         quic                         non-quic                     quic                         quic                         non-quic                    
68-443.0             quic                         quic                         quic                         non-quic                     non-quic                     non-quic                    
69-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
70-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
71-53.0              non-quic                     non-quic                     quic                         non-quic                     quic                         non-quic                    
72-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
73-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
74-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
75-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
76-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
77-53.0              non-quic                     non-quic                     quic                         non-quic                     quic                         non-quic                    
78-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
79-443.0             quic                         quic                         non-quic                     non-quic                     non-quic                     non-quic                    
80-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
81-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
82-443.0             quic                         quic                         non-quic                     non-quic                     non-quic                     non-quic                    
83-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
84-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
85-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
86-53.0              non-quic                     quic                         non-quic                     quic                         quic                         non-quic                    
87-53.0              quic                         non-quic                     non-quic                     non-quic                     quic                         non-quic                    
88-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
89-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
90-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
91-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
92-443.0             quic                         quic                         quic                         quic                         non-quic                     non-quic                    
93-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
94-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
95-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
96-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
97-443.0             quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
98-53.0              non-quic                     quic                         non-quic                     quic                         quic                         non-quic                    
99-53.0              quic                         non-quic                     quic                         non-quic                     quic                         non-quic                    
100-443.0            quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
101-57621.0          non-quic                     non-quic                     non-quic                     non-quic                     non-quic                     non-quic                    
102-443.0            quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
103-53.0             quic                         quic                         quic                         quic                         quic                         non-quic                    
104-53.0             quic                         quic                         quic                         quic                         quic                         non-quic                    
105-443.0            quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
106-443.0            quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
107-1900.0           non-quic                     quic                         quic                         quic                         quic                         non-quic                    
108-53.0             quic                         quic                         quic                         quic                         quic                         non-quic                    
109-53.0             quic                         non-quic                     quic                         non-quic                     quic                         non-quic                    
110-443.0            quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
111-443.0            quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
112-53.0             quic                         quic                         quic                         quic                         quic                         non-quic                    
113-443.0            quic                         quic                         non-quic                     non-quic                     non-quic                     non-quic                    
114-443.0            quic                         quic                         non-quic                     quic                         non-quic                     non-quic                    
115-53.0             quic                         quic                         quic                         non-quic                     quic                         non-quic                    
