Address A,Port A,Address B,Port B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Target
68,255.255.255.255,67,1.0,364.0,1.0,364.0,0.0,0.0,3552.886318,0.0,0.0,0.0,0.0,
50200,72.163.198.168,443,571362.0,461085075.0,242229.0,50039209.0,329133.0,411045866.0,0.0,5498.082758,72809.68468827111,598093.3850468608,0.0,
62088,23.89.129.89,9000,270694.0,66375217.0,35027.0,5803218.0,235667.0,60571999.0,1572.531794,3589.891266,12932.3538124121,134983.4733406658,0.0,
55136,23.89.129.89,9000,7185.0,933693.0,3596.0,467468.0,3589.0,466225.0,1572.668468,3589.781698,1041.774769224421,1039.0046843455716,0.0,
60143,23.89.129.89,9000,102354.0,45738988.0,9768.0,1013200.0,92586.0,44725788.0,1572.863216,3589.6131240000004,2258.0706388123845,99678.23596579874,0.0,
50062,23.89.129.89,9000,7172.0,932183.0,3595.0,467254.0,3577.0,464929.0,1572.863391,3589.6140270000005,1041.346499061917,1036.1648834731388,0.0,
60127,52.98.88.242,443,2.0,2554.0,1.0,1292.0,1.0,1262.0,4000.146914,0.0497749999999541,207654.44500270253,202832.7473633209,0.0,
49813,170.72.132.99,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4885.096267,0.4187560000000303,9399.268308990711,12150.273667719704,0.0,
62848,23.89.56.18,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4885.245516,0.4223499999998239,9319.28495324172,12046.88054931247,0.0,
64856,170.72.132.99,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4885.496284,0.4028619999999137,9770.094970488264,12629.634961850685,0.0,
49634,170.72.132.224,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4885.54787,0.4229919999997946,9305.14052275672,12028.596285514786,0.0,
56599,170.72.132.224,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4885.596757,0.4298840000001291,9155.958351552552,11835.751039811836,0.0,
53013,23.89.56.18,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4885.745482,0.3932669999994687,10008.467529707088,12937.775099377455,0.0,
49876,23.89.56.135,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4885.798471,0.415646000000379,9469.596724126808,12241.186009237092,0.0,
60805,23.89.56.135,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4885.845879,0.4294459999991886,9165.296684583012,11847.822543485358,0.0,
53248,150.253.210.227,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4886.195778,0.19758499999989,19920.54052687295,25750.94263229918,0.0,
61920,150.253.210.227,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4886.245863,0.2107740000001285,18674.03000368925,24139.5997608666,0.0,
51890,150.253.210.92,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4886.295579,0.2226530000007187,17677.7317170094,22851.701975646298,0.0,
54576,150.253.210.92,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4886.351284,0.2275939999999536,17293.953267664354,22355.598126492947,0.0,
62195,170.72.40.23,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4886.595531,0.3127020000001721,12587.063722003164,16271.082372345554,0.0,
57930,170.72.40.23,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4886.647499,0.3093690000005153,12722.670985113064,16446.379566121763,0.0,
59811,170.72.40.28,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4886.696015,0.3027109999993627,13002.50073505187,16808.110706286563,0.0,
60021,170.72.40.28,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4886.745719,0.295682000000852,13311.598271077231,17207.675813831545,0.0,
60729,170.72.100.181,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4887.196122,0.4184770000001663,9405.534832257055,12158.374295356682,0.0,
60211,170.72.100.181,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4887.247668,0.4247519999998985,9266.583794781283,11978.754661546538,0.0,
56755,170.72.100.240,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4887.29736,0.4132770000005621,9523.878657642808,12311.355337928508,0.0,
58389,170.72.100.240,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4887.34735,0.421940999999606,9328.31841419458,12058.557950056407,0.0,
54367,170.72.23.112,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4887.595789,0.3061799999995855,12855.183225570996,16617.67587695763,0.0,
50374,170.72.23.112,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4887.647731,0.3026289999997971,13006.023877429589,16812.66501228703,0.0,
50131,170.72.22.246,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4887.696941,0.318623000000116,12353.157179483487,15968.715378356705,0.0,
63800,170.72.22.246,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4887.74593,0.2924149999998917,13460.321802922072,17399.928184265114,0.0,
60278,69.26.166.224,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4888.096143,0.3132489999998142,12565.084006660303,16242.669569585272,0.0,
60774,69.26.166.224,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4888.150952,0.3205029999999169,12280.69628053722,15875.04641142616,0.0,
58221,23.89.83.87,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4888.196198,0.2991050000000541,13159.258454386543,17010.748733719192,0.0,
61266,23.89.83.87,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4888.246689,0.4538230000007388,8672.984842093927,11211.419430023856,0.0,
50639,170.72.32.20,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4888.495894,0.3075060000001031,12799.750248771345,16546.018614265395,0.0,
58781,170.72.32.20,9000,14.0,1316.0,7.0,574.0,7.0,742.0,4888.547465,0.8654210000004241,5306.088019585554,6859.089391171569,0.0,
60908,170.72.32.27,5004,13.0,1210.0,7.0,574.0,6.0,636.0,4888.596801,0.8287450000007084,5540.908240768964,6139.403555973974,0.0,
57345,170.72.32.27,9000,14.0,1316.0,7.0,574.0,7.0,742.0,4888.646157,0.8054119999997056,5701.429827220949,7370.1409961636655,0.0,
60493,170.72.88.149,5004,12.0,1152.0,6.0,492.0,6.0,660.0,4889.101452,0.3093650000000707,12722.835485588545,17067.2183343261,0.0,
51294,170.72.88.149,9000,12.0,1136.0,6.0,492.0,6.0,644.0,4889.146459,0.3025410000000192,13009.806935257531,17029.09688273547,0.0,
49691,170.72.88.38,5004,12.0,1136.0,6.0,492.0,6.0,644.0,4889.195614,0.2782820000002175,14143.92594561245,18513.59412393174,0.0,
57644,170.72.88.38,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4889.246016,0.2918049999998402,13488.459759093075,17436.301639803245,0.0,
60061,23.89.58.35,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4889.495521,0.4202219999997396,9366.477718925802,12107.885831782136,0.0,
51260,23.89.58.35,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4889.547938,0.4043360000005123,9734.47825569579,12583.593842728706,0.0,
52278,23.89.58.34,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4889.635759,0.4099240000005011,9601.779842105338,12412.056869062995,0.0,
61761,23.89.58.34,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4889.652302,0.4209459999992759,9350.367980707191,12087.06104823125,0.0,
62157,170.72.40.134,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4890.10062,0.3219559999997727,12225.273018681988,15803.401707076717,0.0,
53001,170.72.40.134,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4890.146063,0.3012120000003051,13067.208477736653,16891.757300488844,0.0,
59097,69.26.167.149,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4890.197178,0.3026679999993575,13004.34799849457,16810.4986322003,0.0,
59025,69.26.167.149,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4890.249106,0.3016269999998258,13049.229677722064,16868.516412665107,0.0,
51636,170.72.166.213,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4890.498668,0.3593510000000606,10953.0793012941,14158.858608989936,0.0,
